event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_1,fijacion,fijacion_valida,500.0,900.0,400.0,0.0,-0.6857283153586861
f_2,fijacion,fijacion_valida,1066.667,2266.667,1200.0,0.0,2.6694553430745813
f_3,fijacion,fijacion_valida,2433.333,4333.333,1899.9999999999995,0.0,4.523316646513913
f_4,fijacion,fijacion_valida,4500.0,6366.667,1866.6670000000004,0.0,2.969342316450474
f_5,fijacion,fijacion_valida,6566.667,8400.0,1833.3329999999996,0.0,2.972677658069958
f_6,fijacion,fijacion_valida,8566.667,10433.333,1866.666000000001,0.0,1.8515469004528853
f_7,fijacion,fijacion_valida,10633.333,12466.667,1833.333999999999,0.0,1.1006665906073292
f_8,fijacion,fijacion_valida,12666.667,14533.333,1866.666000000001,0.0,3.2054163294776346
f_9,fijacion,fijacion_valida,14733.333,16600.0,1866.6669999999995,0.0,1.8824192159772266
f_10,fijacion,fijacion_valida,16766.667,18466.667,1700.0,0.0,2.9135659007351853
